date,body_part,exercise,sets_raw,sets_estimated,reps_per_set_raw,reps_per_set_estimated,weight_raw,notes
2/21/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/21/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/23/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/23/2025,背部,罗马椅伸展,—,,—,,—,
2/23/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/23/2025,臀腿,坐姿腿屈伸,—,,—,,—,
2/25/2025,有氧,战绳,—,,—,,—,
2/25/2025,臀腿,箭步蹲加转体,—,,—,,—,
2/28/2025,背部,杠杆交叉下拉,—,,—,,—,面朝器械
2/28/2025,腹部,船长椅直腿抬高,—,,—,,—,
2/28/2025,肱三头肌,绳索下压,—,,—,,5 kg,
2/28/2025,臀腿,坐姿髋内收,—,,—,,—,
2/28/2025,臀腿,坐姿髋外展,—,,—,,—,
3/6/2025,背部,辅助引体向上,—,,—,,—,
3/6/2025,肩部,坐姿器械推肩,—,,—,,最小重量,
3/6/2025,臀腿,哑铃箭步蹲,—,,—,,2.5 kg*2,
3/6/2025,有氧,战绳,—,,—,,—,
3/9/2025,腹部,V-Up,—,,—,,—,
3/9/2025,背部,坐姿划船,—,,—,,—,
3/9/2025,肩部,阿诺德推肩,—,,—,,2.5 kg*2,
3/9/2025,臀腿,箭步蹲加转体,—,,—,,—,
3/14/2025,背部,单臂哑铃划船,—,,—,,—,
3/14/2025,背部,杠杆交叉下拉,—,,—,,—,背对器械
3/14/2025,背部,坐姿划船,—,,—,,—,
3/14/2025,肩部,哑铃侧平举,—,,—,,—,
3/14/2025,肩部,坐姿器械推肩,—,,—,,—,
3/21/2025,背部,杠杆交叉下拉,—,,—,,—,背对器械
3/21/2025,背部,坐姿划船,—,,—,,—,
3/21/2025,腹部,俄罗斯转体,—,,—,,0,
3/21/2025,腹部,负重上举/卷腹,—,,—,,—,
3/21/2025,肩部,绳索肩外旋,3*2,6,—,,2.5 kg,
3/21/2025,腹部,仰卧抬腿,—,,—,,—,
3/24/2025,背部,T杠划船,—,,—,,0,
3/24/2025,腹部,罗马椅负重侧腹,—,,—,,—,
3/24/2025,臀腿,器械倒蹬,—,,—,,—,
3/24/2025,臀腿,坐姿髋外展,—,,—,,—,
3/27/2025,背部,颈后高位下拉,4,4,15,15,15 kg,
3/27/2025,背部,坐姿划船,4,4,15,15,—,
3/27/2025,肩部,绳索肩外旋,3*2,6,12,12,2.5 kg,
3/27/2025,臀腿,坐姿髋外展,4,4,15,15,20 kg,
3/27/2025,臀腿,坐姿腿屈伸,—,,15,15,17.5 kg,
3/29/2025,背部,杠杆交叉下拉,4,4,15,15,17.5 kg,背对器械
3/29/2025,臀腿,反向哈克机深蹲,4,4,8,8,5 kg*2,
4/5/2025,臀腿,器械倒蹬,4,4,15,15,40 kg,
4/5/2025,臀腿,史密斯硬拉,4,4,—,,5 kg*2,
4/5/2025,臀腿,哑铃保加利亚分腿深蹲,3*2,6,12,12,—,
4/5/2025,臀腿,坐姿髋内收,—,,—,,20 kg,
4/5/2025,臀腿,坐姿髋外展,—,,—,,—,
4/9/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/13/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/13/2025,背部,坐姿划船,4,4,15,15,—,
4/13/2025,臀腿,器械倒蹬,4,4,12-12-15-15,12,40 kg-40 kg-30 kg-30 kg,
4/13/2025,臀腿,深蹲,2,2,15,15,—,
4/13/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
4/17/2025,背部,单臂高位下拉,3,3,15,15,17.5 kg/2,
4/17/2025,肩部,阿诺德推肩,4,4,12,12,2.5 kg*2,
4/17/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
4/17/2025,臀腿,高脚杯深蹲,4,4,12,12,5 kg,
4/29/2025,背部,辅助引体向上,4,4,15,15,54 kg,
4/29/2025,背部,颈后高位下拉,4,4,15,15,20 kg,
4/29/2025,背部,坐姿划船,—,,—,,—,
4/29/2025,臀腿,反向哈克机深蹲,4,4,8,8,5 kg*2,
4/29/2025,臀腿,深蹲,2,2,15,15,—,
4/29/2025,臀腿,坐姿腿弯举,4,4,15,15,20 kg,
5/10/2025,腹部,前平板支撑,3,3,40 s,40,—,
5/10/2025,肱三头肌,坐姿颈后臂屈伸,4,4,15,15,5 kg,
5/10/2025,肩部,坐姿器械推肩,3,3,12,12,最小重量,教练辅助
5/10/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
5/15/2025,腹部,前平板支撑,2,2,40 s,40,—,
5/15/2025,背部,宽距高位下拉,4,4,15-15-12-12,15,15 kg-15 kg-20 kg-20 kg,
5/15/2025,臀腿,反向哈克机深蹲,4,4,12,12,5 kg*2,
5/15/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
5/18/2025,背部,直臂下压,4,4,12,12,5 kg,
5/18/2025,肱二头肌,直臂弯举,4,4,12,12,5 kg,
5/18/2025,胸部,杠铃卧推,4,4,12,12,10 kg,教练辅助
6/7/2025,背部,坐姿划船（窄距）,4,4,18-18-12-12,18,17.5 kg-17.5 kg-20 kg-20 kg,
6/7/2025,腹部,罗马椅负重侧腹,2*2,4,12,12,2.5 kg,
6/7/2025,肱二头肌,直臂弯举,4,4,12,12,5 kg,
6/7/2025,臀腿,坐姿腿屈伸,4,4,15,15,17.5 kg-17.5 kg-15 kg-15 kg,
6/13/2025,背部,杠杆交叉下拉,4,4,18,18,15 kg,背对器械
6/13/2025,腹部,俄罗斯转体,—,,—,,0,
6/13/2025,腹部,负重上举,3,3,12,12,2 kg,
6/13/2025,臀腿,反向哈克机深蹲,4,4,12,12,10 kg*2,
6/14/2025,背部,辅助引体向上,4,4,18-18-8-8,18,54 kg-54 kg-49.5 kg-49.5 kg,
6/14/2025,背部,宽距高位下拉,4,4,15,15,15 kg,
6/16/2025,背部,单臂高位下拉,4,4,12,12,17.5 kg/2,
6/16/2025,背部,辅助引体向上,4,4,12-12-20-20,12,49.5 kg-49.5 kg-54 kg-54 kg,
6/16/2025,肩部,绳索肩外旋,4*2,8,15,15,2.5 kg,
6/16/2025,臀腿,器械倒蹬,4,4,15,15,40 kg-40 kg-30 kg-30 kg,
6/18/2025,背部,杠杆交叉下拉,4,4,18,18,17.5 kg,背对器械
6/18/2025,肩部,绳索肩外旋,4*2,8,15,15,2.5 kg,
6/18/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
6/21/2025,腹部,负重上举,3,3,20,20,3 kg,
6/21/2025,臀腿,史密斯相扑深蹲,4,4,15,15,5 kg*2,
6/21/2025,臀腿,坐姿腿屈伸,4,4,12-12-15-15,12,17.5 kg-17.5 kg-15 kg-15 kg,
6/21/2025,臀腿,坐姿腿弯举,4,4,15,15,17.5 kg,
6/25/2025,背部,单臂高位下拉,4,4,18,18,17.5 kg/2,
6/25/2025,背部,颈后高位下拉,4,4,12-15-15-15,13.5,20 kg-15 kg-15 kg-15 kg,
6/25/2025,背部,宽距高位下拉,4,4,—,,20 kg-15 kg-15 kg-15 kg,
6/25/2025,肩部,哑铃侧平举,4*2,8,12,12,2.5 kg*2,
6/25/2025,肩部,坐姿器械推肩,4,4,12,12,最小重量,教练辅助
6/27/2025,背部,单臂哑铃划船,3*2,6,12,12,3 kg,
